GP G GENERATION;GPG;GP G SV GENERATION SERVICE;SPG05A;2022-10-19T09:10:22.841Z
GP I INDUSTRIAL APPLICATIONS;GPI;GP I SCD INDAPPLIC.SERV.CONTROLS&DIGITAL;SPG067;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;CF F CENTRAL ITEMS / HEADQUARTER;TRE030;2022-10-19T09:10:22.841Z
POC SL;CMP;POC SL TECHNICAL;CMPTEC;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS DIAGNOSTICS GOODWILL;HSCDGO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;LAWSUIT;CIT795;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;REORG COSTS FINANCIAL REPORTING;CIT420;2022-10-19T09:10:22.841Z
GP I INDUSTRIAL APPLICATIONS;GPI;GP I SV INDAPPLIC AND DISTRIBGEN SERVICE;SPG066;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS US ULTRASOUND;HSC004;2022-10-19T09:10:22.841Z
POC PORTFOLIO COMPANIES OTHER;SPC;POC OTH COMMERCIAL VEHICLES;SPC020;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;IT CENTRAL;CDO300;2022-10-19T09:10:22.841Z
SI SMART INFRASTRUCTURE;SSI;SI BP BUILDING PRODUCTS;SSI055;2022-10-19T09:10:22.841Z
CF FINANCING - PENSIONS;PEN;PEN FONDS INVEST UND PRIVATE EQUITY;PEN006;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;OLKILUOTO;CIT091;2022-10-19T09:10:22.841Z
TCF - TRE SCU;ETR;TCF TRE TREASURY;ETR039;2022-10-19T09:10:22.841Z
POC PORTFOLIO COMPANIES OTHER;SPC;POC OTH CENTRAL ITEMS;SPC999;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 603;CIT603;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;RESERVE CDO340;CDO340;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;GWYNT-Y-MOR C/O;CIT065;2022-10-19T09:10:22.841Z
TCF, PDI, PCF;GPF;FS CI SPGFS CENTRAL ITEMS;SPGF99;2022-10-19T09:10:22.841Z
TCF, PDI, PCF;GPF;PDI PROJECT DEVELOPMENT AND INVESTMENT;SPG082;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;CF F INS INSURANCE;TRE036;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS OPERATIONS - DIGITAL SOLUTIONS;GBS800;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA G SE GENERATION SERVICE;SER018;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;PERSONALRESTRUKTURIERUNG INFRASTRUKTUR;CIT750;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA CI GOODWILL CENTRAL ITEMS;SERCGO;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA T CI TRANSMISSION CENTRAL ITEMS;SER99T;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA FS&T PDI&PF PDI, PROJECT FINANCING;SER042;2022-10-19T09:10:22.841Z
POC PORTFOLIO COMPANIES OTHER;SPC;POC OTH SYCATEC;SPC040;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;CYBER SECURITY;CDO500;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SPEZIAL CFR 2 - U;CIT803;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA CORPORATE CORE SERVICES (INCL. AFR.);SER998;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;KOSTENÜBERNAHME INFRASTRUKTUR;CIT751;2022-10-19T09:10:22.841Z
SIEMENS SRE ESTATE MANAGEMENT;SRE;SRE OTHERS;SRE999;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA T PR TRANSMISSION PRODUCTS;SER031;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SPARK BREEZE;CIT086;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;PIONEER;CIT079;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;MAP <=50% SHARE;CIT068;2022-10-19T09:10:22.841Z
POC SL;CMP;POC SL CENTRAL ITEMS;CMP999;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;CIT TECHNICAL;CITTEC;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;FOKUS;CIT069;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;IT COUNTRY SUPPORT FUNCTIONS;CDO310;2022-10-19T09:10:22.841Z
CF FINANCING - PENSIONS;PEN;PEN TECHNICAL;PENTEC;2022-10-19T09:10:22.841Z
FINANCIAL SERVICES;SFS;FINANCIAL SERVICES DIV NO ASSIGNED BU;SFSZZZ;2022-10-19T09:10:22.841Z
ADVANTA;IOT;ADVANTA TECHNICAL;IOTTEC;2022-10-19T09:10:22.841Z
GP I INDUSTRIAL APPLICATIONS;GPI;GP I CONS INDUSTRIAL APPLICATIONS;SPGOCO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;VALEO SIEMENS EAUTOMOTIVE;CIT067;2022-10-19T09:10:22.841Z
GP G GENERATION;GPG;GP G SO SOLUTIONS;SPG052;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T CONS TRANSMISSION;SPGTCO;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS THERAPY GOODWILL;HSCAGO;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA I GOODWILL OIL&GAS;SEROGO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 807;CIT807;2022-10-19T09:10:22.841Z
DI DIGITAL INDUSTRIES;SDI;DI PA PROCESS AUTOMATION;SDI060;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T NP NON-SWITCHING PRODUCTS & SYSTEMS;SPG071;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS PASS THROUGH ITEMS (PTI);GBS990;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS CI CENTRAL ITEMS;HSC999;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS OPERATIONS - PROJECT SERVICES;GBS900;2022-10-19T09:10:22.841Z
ADVANTA;IOT;ADVANTA CONSULTING;IOT100;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;CDO TECHNICAL;CDOTEC;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS MANAGEMENT & SUPPORT FUNCTIONS;GBS100;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 806;CIT806;2022-10-19T09:10:22.841Z
POC PORTFOLIO COMPANIES OTHER;SPC;POC OTH. SONST. BETEILIGUNGEN;SPC090;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;ECI;SE CENTRAL COSTS;CIT005;2022-10-19T09:10:22.841Z
TCF, PDI, PCF;GPF;TCF, PDI, PCF DIV NO ASSIGNED BU;GPFZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 330;CIT330;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T TRANSMISSION DIV NO ASSIGNED BU;GPTZZZ;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;TRE ENERGY DO;TREEDO;2022-10-19T09:10:22.841Z
CF FINANCING - PENSIONS;PEN;PEN CALIFORNIA DO;PEN004;2022-10-19T09:10:22.841Z
GP G GENERATION;GPG;GP G CONS;SPGGCO;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;SE COL CARVE OUT & LISTING PROJECT;SPG993;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;CF FINANCING - TRE SCU DIV NO ASSIGNED BU;TREZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESIDUAL PARTICIPATION ACTIVITIES;CIT602;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA G PR&SO PRODUCTS&SOLUTIONS;SER012;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;GIS/NATIONAL GRID;CIT732;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS PV POWER & VACUUM TECHNIC;HSC011;2022-10-19T09:10:22.841Z
EXTERNAL/NOCONS;EZZ;EXTERNAL/NOCONS DIV NO ASSIGNED BU;EZZZZZ;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA CI CENTRAL ITEMS;SER999;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA POWERHOUSE;SER993;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA DO;SEREDO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;HANAU (BRD);CIT090;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 093;CIT093;2022-10-19T09:10:22.841Z
