A;Copper and Copper Alloys;2022-10-19T09:10:05.272Z
AB;Copper Raw Materials;2022-10-19T09:10:05.272Z
ABA;Copper Raw Material, Other;2022-10-19T09:10:05.272Z
ABB;Copper Raw Material, Cathodes/Anodes;2022-10-19T09:10:05.272Z
ABC;Copper Raw Material, Wire Rod;2022-10-19T09:10:05.272Z
ABD;Copper Raw Material, Shapes;2022-10-19T09:10:05.272Z
AC;Semi-finished Copper Products;2022-10-19T09:10:05.272Z
ACA;Semi-Finished Copper Products, Other;2022-10-19T09:10:05.272Z
ACB;Copper Sheets;2022-10-19T09:10:05.272Z
ACC;Copper Strips;2022-10-19T09:10:05.272Z
ACD;Copper Wires;2022-10-19T09:10:05.272Z
ACE;Copper Rods;2022-10-19T09:10:05.272Z
ACF;Copper Tubes;2022-10-19T09:10:05.272Z
ACH;Copper Sections;2022-10-19T09:10:05.272Z
AD;Copper Products;2022-10-19T09:10:05.272Z
AD1;Machined copper parts (and alloys);2022-10-19T09:10:05.272Z
ADA;Copper Products, Other;2022-10-19T09:10:05.272Z
ADB;Magnet Wire;2022-10-19T09:10:05.272Z
ADC;Round Copper Wires > 1 mm;2022-10-19T09:10:05.272Z
ADD;Fine Copper Wires < 1mm;2022-10-19T09:10:05.272Z
ADG;Enamelled Copper Wires, Overcoat;2022-10-19T09:10:05.272Z
ADH;Enamelled Copper Wires, Baked Enamel;2022-10-19T09:10:05.272Z
ADJ;Copper Flat or Multiple Conductor Paper/Enamel Insulated;2022-10-19T09:10:05.272Z
ADK;Copper Fabrics;2022-10-19T09:10:05.272Z
ADL;Copper Litz Wires;2022-10-19T09:10:05.272Z
ADM;CTC control wire;2022-10-19T09:10:05.272Z
ADN;TG-CTC;2022-10-19T09:10:05.272Z
ADO;CTC;2022-10-19T09:10:05.272Z
ADP;CTC with Epoxy;2022-10-19T09:10:05.272Z
ADQ;Copper Busbars for Power Current;2022-10-19T09:10:05.272Z
ADR;Chained Conductor;2022-10-19T09:10:05.272Z
ADS;Copper Magnet Wire, Round, Enameled;2022-10-19T09:10:05.272Z
ADT;Windings;2022-10-19T09:10:05.272Z
ADU;Twin CTC;2022-10-19T09:10:05.272Z
ADV;Copper Magnet Wire, Flat, Enameled;2022-10-19T09:10:05.272Z
ADW;Copper Magnet Wire, Flat, Mica Insulation;2022-10-19T09:10:05.272Z
ADX;Copper Magnet Wire, Flat, Polyimide Tape Insulation;2022-10-19T09:10:05.272Z
ADY;Copper Magnet Wire, Flat, Other Insulation;2022-10-19T09:10:05.272Z
